Questions,Answers
What should I do when we see each other?,I am so sorry this happened.  Sharing a part of your private life without your permission can be so painful.  I might suggest (depending on your relationship) reaching out to your sister and discussing this (or setting boundary that you don't want to discuss your private life).  I might also speak with your wife and share how hurt you are and what you need to happen moving forward to begin to heal.
I was born a girl. I look like a boy. I sometimes feel like a different variation of gender. I don't know what to say if someone asks my gender. I just get really confused and usually say my birth gender.,"Hi, as an affirming gender therapist I like to let people know that like sexuality, gender is a spectrum too.  It's possible to look like a girl and feel more like a boy, just as it's possible to feel halfway between a boy and a girl, or anywhere else on a horizontal line with two points between it.  Some people use different pronouns or words to express their gender and that's okay.  It's up to you to find out what is most comfortable."
"I've been going through a rough time lately. I been into nothing but women. I’ve never thought about men until a week ago. I’m very upset and depressed about this. It's not normal to me. I looked at gay porn more than once to prove that I’m not gay. I get the same results each time, and I feel disgust. This is tough on me. I'm scared that I looked too many times. I keep thinking about it and shake all the time.","Are you able to give yourself some peace of mind while you take the time to further address whether or not you are gay?Whether or not and to what degree a person accepts their sexuality, depends on dense factors such as the culture of your family, the beliefs about gay people with which you were brought up, and your own tolerance for being a unique individual.Examining these factors, whether inwardly by yourself, in online blogs and sites, or live with other people, requires patience and effort.The more you are willing to commit to figuring out your own truth, the greater is your chance of finding it!"
"I am a heterosexual male in my late 20s. I find myself wearing pantyhose, heels, skirts and other women's clothing in private. I am torn on how to feel about it. I enjoy it very much. I have had a pantyhose/stocking fascination and other kinky fetish interests since I was young. I have no history of sexual abuse growing up. I am currently single.","Let yourself enjoy crossdressing!What sounds in your way are whatever beliefs you gre up hearing, see and absorb currently.Concentrate on your own satisfaction and that you are doing this in a non-harming way.Maybe if you branch out your interest by finding other people who enjoy crossdressing as much as you do.With any interest or activity, social interaction supports it."
I have always wanted to have a transition from male to female for some time now. This issue has persisted for 10 years already but I don't know where to start. I do not have the soundest information either.,Wonderful!  I am so excited for you.  What a huge decision.  I am writing from Toronto Canada so it is hard for me to direct you specifically.  I would start with two things 1) Find a doctor that is comfortable perscribing hormones and 2) find a Counsellor or Therapist that is transgender specialized.  They will know how transitioning works in your health care system and other supports as well.  Google is a wonderful way to find these resources.   I wish you well. Thanks for writing!
"In middle school and high school, my friends and family thought I was gay. I tried telling them, but they wouldn’t believe me. It almost feels like they wanted me to be. Now I’m actually starting to believe them. I know I wasn’t back then, and now I’m not sure anymore.","I agree with Amy. We get a lot of pressure from others and even ourselves to define who we are and what we want at a pretty early age. The truth is, our sexuality can change and grow in directions we never imagined. I may be wrong, but I am getting the impression that you may not want to be gay. That this is something you didn't like others suggesting and now you are uncomfortable with the idea that it may be true. This would certainly be understandable. Your sexuality is YOURS and yours alone. It can be quite frustrating and hurful when others try to define who you are. And it can be equally frustrating when you are trying to figure it out for yourself. The truth is that there are many different possibilities when it comes to sexual orientation. It may help to think about what qualities you find attractive. What kind of person can you see yourself being attracted to? Someone smart? Funny? Loves dogs? If you look for these qualities in a person they may lead you to being attracted to someone of the same sex, but maybe not. At least you would be choosing someone based on values and qualities that you love and admire. Another idea is to chat with a counselor, if you are interested. Preferrably one who has done some training in affirmative therapy. Be well and be you..Robin  J. Landwehr, DBH, LPC, NCC"
"I'm a guy. If I don't like girls, nor do I like guys, does that mean I'm gay?","It doesn't sound like you are finding yourself attracted to anyone.  It could mean that you just haven't connected with anyone you find attractive, or that you are asexual - essentially not oriented toward anyone.  I would suggest doing some reading on asexuality and see if it connects to how you feel!"
"I'm transgender, I know I am, but I've only told a few friends. I know I can't tell my family because of previous conversations we've had. They just wouldn't accept it.
 My gender dysphoria is getting really difficult to deal with on my own. I need some strategies for dealing with it. What should I do?","Hi. It can be difficult to handle such a transition on your own. I work with clients to understand their needs and wants. This can involve how to communicate effectively with friends, family, and other loved ones; or, learning how to have self-acceptance. I strongly recommend speaking with a licensed clinician one on one to help facilitate the change you are looking for."
"I have been noticing myself really enjoying watching/reading about gay or lesbian couples. I've also been imagining what it might be like to date a girl, and I like the idea. I also find guys cute too. Does this make me bisexual?",Hello!  Thank you for your question.  Exploring your sexual orientation and attraction is a wonderful opportunity to get to know yourself!  I would be curious to know what feelings you might have related to the possibility of being bi; What messages you may have received related to this orientation and any concerns you have about possible sexual orientations.
"I'm a teenage girl. I don't know if I'm straight, bisexual, or gay. I've been straight all my life, but a sudden rush of questions have come over me, and I don't know anymore.","Being open minded about the type of sexual connection which feels true and real, is a solid starting point.Having questions is a very valuable way of more clearly defining your sexuality.Write one or two of your questions if you'd like a more specific focus to your general search about your sexual preference."
I've recently thought that i could be transgender but I've never had the mind of a girl.,"Hello Frostproof,Thinking about becoming transgender and being transgender are slightly different.  This is a topic that is best discussed with a therapist that specializes in LGBTQ issues.  From what you have written it sounds as if you still have some confusion as to where you fit in with the ""labeling system"".  While labels provide a means to quickly identify and classify, they can also feel restrictive or confining.  Instead of focusing on fitting into a specific classification, explore who you are as a person and celebrate your positive qualities and those things that make you uniquely you!  There are many options for you to find a therapist and e-therapy is also an option.  You can try Breakthrough an online service.   Here is some reading for refection that you may find helpful.  Yin Yang Woman Man http://dld.bz/ejVK2  What does it mean to be a woman or a man?"
I feel like I would be more comfortable as a girl even though I still like girls. I think I'm like a girl stuck in a guy body. I imagine myself as a girl too. I think this more because my friends say that if I was a girl I would be a hot looking one. And I don't care about having boobs or anything. I just feel like the way that I do act will make more sense if I was a girl.,"I understand that gender and/or sexual identity crises can be very difficult to navigate, although in today’s time I think we have made a lot of progress and it is becoming easier for individuals to find themselves and also find acceptance from society.I am unsure how old you are. If you are a child or teenager, this is a normal time to have identity questions and to be in a phase where you are trying to figure out who you are and what you want out of life. I hope that you have understanding and supportive friends and family that you can talk to and who will support you in how you feel and what you may decide to do. A lot of people, unfortunately, do not, and if this is the case then it makes it harder for you. Because then you may not feel safe exploring these feelings and decisions.I urge you not to try to make any permanent changes for quite some time. By this I mean a sex change. Anything permanent like surgery or hormone replacement to change your actual gender is something that does not need to be done lightly. Please find a therapist that can help you explore your feelings and your identity crisis. Of course there are things that you can do that are not permanent changes. Many people decide to dress like their gender of choice. Maybe experimenting in this way is something that you could do.See if you have a local chapter of PFLAG in your area. PFLAG stands for Parents, Families and Friends of Lesbians and Gays. They are able to help not only with those who identify as lesbian or gay, but also transgendered and asexual. I wish you all the best in your identity crisis. It would be very easy for you to sink into depression if you do not have good support and understanding from those around you during this time. Find a professional that can help, especially if you experience depression or any thoughts of harming yourself."
All we do is argue. We never agree on anything.,"For how long has the arguing been occurring and does it relate to a specific incident or circumstance in your relationship?Arguing due to temporary stress and feeling lost or uncertain, is different than the two of you rarely agree on what foods to buy at the grocery store.In both temporary or longer term arguing, ask yourself if the points being argued are core principles of yours or matters which you can accept in service to the benefits you feel from the marriage.If your core principles are rejected, you’ve been arguing for an extended amount of time, and the value of the marriage doesn’t outweigh this, then seriously consider if ending the relationship is a better option than to stay in it."
What makes a healthy marriage last?,"This is a fantastic question. In one sentence, I would say the following:Recognize that while you and your partner probably have common interests and areas of commonality, you are separate people, each with different wants, wishes, and desires – if you consider a diagram of two overlapping circles, they may share perhaps a third of the circle with overlap to indicate commonality (could be more or less) and then there are parts of the circles that are not overlapping, indicating separate interestsAs for ways that may strengthen any relationship, even the great ones, this is what came to mind. There are certainly more specific unique answers or elements for different people as far as the details, but here are some general ideas:Try to have at least 15 minutes a week where you are spending time together and not problem-solvingRealize that listening to your partner does not mean that you are agreeing with them, it just means that you are saying that you hear where they are coming fromLearn to hold on to your own wants, wishes, and desires while also recognizing those of your partnerSet boundaries for what is and isn't acceptable behavior during an argument or difficult discussionDiscuss how having important discussions can be anxiety-producing and consider having an understanding that if one of you (or both of you) feels overwhelmed, you can take a timeout for a certain amount of time. For example, you may say ""okay, I'm feeling really stressed about this right now. Let's discuss it in an hour."" And at that time, go back to the discussionConsider what your partner's top three or four complaints about you may be. Check in with them and see how accurate you are. If you see validity in their responses, consider whether or not you may want to make changesDiscover what makes your partner feel loved, valued, appreciated, or specialRelationships are always in progress and constantly changing. Some anxiety around change is typical. Being able to effectively discuss the anxiety and actually listen to one another without being defensive, name calling, finger-pointing, or asking each other to change is a true gift.You may enjoy this quote: ""Connection is the energy that is created between people when they feel seen, heard, and valued; when they can give and receive without judgment."" ~Brene Brown"
"I found out today that my wife is cheating on me. I love her, but she won’t tell the truth even when I have proof. When I beg her to tell the truth, she yells, cusses, and gets a huge attitude.","Hi Prattville, I'm sorry this is happening to you. You need support right now, and yes, you need answers. She is in denial and is trying to hide the truth, to protect herself. This is a natural behaviour. You don't indicate whether she wants the marriage, or is planning to leave. Which way you go from here depends in part on the answer to that question. If she wants the marriage, you certainly have the right to say ""I need answers to all my questions"". Giving you the information she needs has to be (if she wants the marriage) more important than protecting herself. I would support your right to advocate for all the information you need in order to feel secure or make decisions. She may fear that the truth will turn you away. If you want to, you can reassure her that you want the marriage no matter what the truth is. If the marriage is to survive, it needs openness.If, on the other hand, she's planning to end the marriage, then you might want to resign yourself to the fact that you may never get the information you seek. You are better off, in that case, seeking support from friends and family rather than beating on a closed door. Your wife has some decisions to make. Try to give her a bit of time to make them. You can patiently say ""I know this thing is happening. Talk to me so we can deal with it together. I want to move forward but I need the truth."" Only time (and a good therapist, if she is willing and wants the marriage) will tell which way this one will go. Individually, you can seek professional help as well."
"I'm always listening to my husband, but it feels like he never listens to me.    How do I get my husband to listen to me instead of me listening to him all the time?","Thanks for your question.  Communication is essential between couples and often times gets neglected in relationships.  Working with your husband to help him become a better listener and consequently, a better communicator is going to take some work from your part.  You have to calmly be able to express to him your concern and how it affects you.  Very important is that you do it in a loving and non-threatening way.  Therefore, the time to have this discussion is not when you are frustrated or need to vent to someone about something important.  Focus the discussion on how both of you could benefit from having more meaningful conversations where both parties are being heard and how it is important to you that he hears you just like it is crucial for him to be heard.  There is a lot of useful information online about how to be a good listener or therapist in your area that can help you.  Be patient and genuine, and he will come around.  Best of Luck, Mirella~"
"I've only been married three months. Every week, we argue about something, and it seems to be getting worse.","One key factor to consider is, are you able to repair after your arguments? It seems from your question that repair is lacking after any disagreement or argument. When couples are able to repair after an argument, they have an opportunity to learn more about each other's needs moving forward. I'm also curious if you're having the same type of arguments over and over? If you're stuck in a particular pattern, and can start recognizing what happens between you when this pattern happens, then you can start to name it. Once you name it, then you can take a break to cool off and come back to each after your nervous system has had a chance to calm down (about 30 minutes). The key here though is to make sure you have a plan in place - when things are good between you - an agreement between you that when you both start to get escalated, you'll name it or have an agreed upon code word to signal you don't want to continue this cycle, and then agree to cool off and come back together at a later time. That way, when this is enacted during an argument, nobody feels abandoned during the cool off time. Rather, both partners know they will return at a time when they can truly hear each other and hear their needs."
"If I tell him I don't like certain things, he does when it pertains to me. He tells me it's not like that. He never has anything to say about me until I tell him something about himself.","It sounds like there are issues with communication between you and your husband.  Your perceptions of interactions that you are having don't sound like they match up.  It would probably be helpful for you both to work on communicating using ""I"" statements (I feel----when you---).  This is a more effective way of communicating your needs than directly criticizing the other person.  If you work on communicating in new, less critical ways you both may learn more about your spouse's feelings and perspective."
"Cheating is something unacceptable for me but because we have two daughters I decided not to break up the family. However, now I am struggling to forget and forgive what happened. I feel like I cannot trust him. Without trust, I cannot stay in this relationship. On the other hand, I do not want my children to get hurt. I'm not sure how to move forward?","First of all, my heart goes out to you. Infidelity is an extremely challenging obstacle to overcome. There are some things that you should consider. First of all, did he seem truly remorseful? If you felt in his heart that he was truly sorry for what he had done, it will give you a piece of mind that it was a  mistake. Secondly, was he forthcoming with this information? How about with answering your questions after the truth was uncovered? If you found that he was still lying or not forthcoming, the sting is even more painful. He should be able to answer any question you have honestly and without hesitation.Thirdly, has he shown a positive difference after this experience? At this time, he should still be proving his faithfulness to the marriage, you and the children.Keep in mind that experiencing infidelity is a form of grief. It is not a quick process that can easily be overcome. What you are experiencing is 100% normal. My best suggestion would be to see a marriage therapist. Find out what drove your husband to cheat in the first place and decide if this aspect in his life has been resolved. I know its important for you to keep your family together but children can sense anger and frustration, this is not a healthy environment either. If you decide that you can no longer remain in the relationship, a therapist will also be able to help you cope with the separation along with addressing your children's needs.Please know that you are not alone and that unfortunately, many relationships have endured this very thing. It may also be helpful to reach out to people who have experienced similar obstacles. The web is a great resource to find groups whether online or in person to use as a support or sounding board.Best of luck to you and your family!"
"He wants to wear makeup and heels. He even tucks his penis away to resemble a vagina. He wants me to wear a strap on and have anal sex with him. I have tried this for him, but I don’t like it and have told him so. He keeps making comments about it and says he can't live without it.","Depending on your own sexual history and what you grew up expecting to be ""normal"" in the bedroom, I can easily imagine that this came as quite a shock to you!  It DOESN'T necessarily mean, however that your husband is: gay, bisexual transgender, or even necessarily a cross-dresser etc. unless he has already told you so. I agree with the other poster who recommended you try and ask him more questions with an open and curious attitude and see if he might be open to explaining more with you. That being said, what we also know from research is that frequently what turns us on isn't always what we identify as.  Lots of people have fantasies or even sexual behaviors they may enjoy from time to time without considering themselves to be a part of any label or subculture. For example, many women are okay with having their hair pulled or bottom spanked during a particular rowdy sexual encounter but certainly don't consider themselves kinky, submissive, or anything else.  It could be that your husband enjoys pretending/ fantasizing that he is something completely different in the bedroom from time to time from what most other see him as outside in the corporate world or in other roles he plays as husband, father, son, friend etc.  Many of my kink clients are drawn to their particular fetish simply because it's the opposite of what their life typically entails (e.g., a high profile CEO who is always responsible for making the decisions enjoys being at ""the mercy"" of someone else once a week). Each of us has a sexual script - a blueprint if you will of what we like and don't like in the bedroom and also what we have each come to see as being ""normal.""  It's also an internal guideline for how we each define our role in sexual expression, sexual orientation, sexual behaviors, sexual desires, and how big a part our sexual identity plays in our everyday lives (Gagnon & Simon, 1973).You've been clued into the fact that your husbands greatly differs from yours on the surface level at the moment. ALL of us are sexual beings yet none of us is exactly identical to one another in our sexual definitions and script expectations. It's like our own sex fingerprint. In my role as a couples counselor, I often help partners become aware of their own sexual script and explore where it overlaps their partners and where it may always differ.  If a couple is able to successfully navigate formulating a plan for both to feel validated and sexually satisfied, the relationship thrives. Most counselors would agree that a healthy script includes:Both partners taking ownership for the couple's sexual experiences.Both partners learning to communicate openly and honestly about their feelings.Both partners learning to meet one another's - needs, desires, and wishes while making sure his/her own needs are being met.If ""pegging"" your husband as it's called is a hard and fast no for you, that will likely need to be respected as it may be too far off your own sexual script.  However, if your husband is for sure absolutely adamant about ""needing"" to dress in a female fashion and/or be anally penetrated, you may seek professional counseling to help navigate how both of you will come to an agreement about fulfilling these desires in a way that doesn't hurt either one of you or the marriage.My warmest wishes to you both!"
"I love him, but he doesn’t show me love. He talks badly about me to his friends.","What you are describing is a state of abandonment like no other; a direct lack of respect. The challenge here is: you cannot control another person no matter how hard you try. The only person that you have control of is yourself. So then the question that this reality poses is: What are you willing to change? If you love yourself and know that you have tremendous value, if you can see what you bring to a relationship and that you deserve respect and love and tenderness, then you will get to a point where you will settle for nothing less than that. The change that might be necessary in yourself is to change the way you see yourself, the way you treat yourself and what you accept. Your husband also needs to change and that is something only he can do for himself but reaching out to get help as well. It would be helpful for you both to get help because there is damage on both parts. You have much more power than you realize and talking with someone can help you to hone that power and make a difference in your own life. Sometimes, the difference/change can be walking away from a bad situation or it can simply be changing your attitude and raising the bar. Sometimes our loved ones come with us on the elevation, and sometimes they get left behind.  You must do some deep introspection through therapy to get to the point where you can answer this question for yourself."
My father is in the hospital and was diagnosed with leukemia. I have been dealing with that all day. My husband keeps getting mad at me for things that I said.,"I don't know how long you have been married, but this might be a time to explain to your husband what you wish he could do for you in this moment. It could be that he is showing that he is getting mad at you because he is worried about you and it is just coming out wrong. Maybe he would be open to an honest discussion?"
"My husband took a job out of state for the next year and seems to be a different person. Before, he worked and slept, and on off days, he'd stay home because he didn't want to do anything else. Now he's going out with friends several nights a week while I'm still home working a 50 hours a week job and taking care of two kids by myself. He's suddenly saying he misses me and wants me to be his adored wife, but the whole time, I'm remembering how I've been emotionally starving for the last five years.","It seems that you have been very disconnected from each other which naturally  could contribute to symptoms of saddness and even depression. Obviously something has shifted which you do not understand. Therefore,  perhaps you should consider attending Couples therapy to help work through your concerns and feelings?  It would also be beneficial to assess if in fact any depression or other underlying issue is going on. Communication is so important in any relationship and the manner in which we express ourselves to our partner can either invite curiosity and emotional connection, or shut down connection. IMAGO dialoguing is a helpful tool for couples for communication as it teaches  validating and empathic listening to better heal disconnection."
"I decided to stay and work it out. I just don’t want to sit on the couch. Other than that, I have been getting over the situation. I don't feel it is fair that she expects me to sit on that couch and won’t leave me alone about it. I can move on and continue to love, laugh, and play with my wife. I just don't want to sit on that couch.","Houston, It's normal for this kind of thing to be a trigger, so I get why you don't want to sit on it, but to keep refusing keeps the affair alive. Am I to assume that you can't afford a new one? Ideally, she buys you a new couch, but it certainly would be a gesture of love for you to do it too and it will help you both move forward. t will be interesting to see if there's anything else that keeps the problem alive after the couch is long gone."
I'm feeling different towards my husband. I feel I am growing from the relationship. I have been with my husband for six years and married for almost five. I just don't feel that connection anymore. I feel nothing. I don't know why or if I'm just being irrational.,"Lacey, I'm SO glad you wrote. Thousands of people are having this same feeling right now. I'm glad you're paying attention to it. When you first meet someone, there are all kinds of sparkly feelings and you both do and say lots of things to cement the attachment and create deep intimacy and connection. Then what happens is because we have that connection established, we instinctively cut back on those loving behaviours because we don't have to work hard to earn their love anymore. That sparkly feeling typically lasts a few years (long enough to procreate and keep the human race going), and then it wears off a bit, and you end up looking at each other thinking ""how come I don't feel the same anymore?""Mostly (not always, and I'll get to that in a minute) all that this means is you've stopped doing all those loving things you used to do! It's as though you filled the car with gas, you've run out of gas now, and you're forgetting to put more in!The first clear solution to this feeling is to bring back more of your own loving behaviours that you've cut back on. Act lovingly, and you will likely regain those feelings. Talk to your partner about this. It's okay to say ""do you remember we used to do X,Y and Z? Can we do that again? Can I get more of the foot rubs you used to give me?"" Ask for what you want (instead of complaining). What are your 'love languages'? What are your partner's? Marriages need to be fed. It's that simple. Many things get in the way...children, jobs, but mostly complacency. Get active with your love!Okay, now, you might read this and think ""that's not what's happening"". That's a cue to talk to someone, like a therapist, about your feelings. People do grow and change and sometimes relationships don't fit anymore. But these are huge decisions, not to be made lightly. I wish you happiness."
"I have an overwhelming desire to watch my wife have sex with another man. I talked to her about it, and she said she will do it for me. The idea excites me to no end, but I don’t want to because it disgusts me. How can I stop wanting it, or should I just give into it and do it? I’ve been struggling for years with this. It won’t go away. By the way, I am in my mid 30s and my wife is in her mid 40s.","Try to understand your own ambivalence to having your wish fulfilled.Since you and your wife are in a relationship, the sex she will have with another man will affect emotions in both you and your wife.I suggest you and her prepare emotionally before you both go ahead with the sexual arrangement,By anticipating any jealousy or feeling helpless or out of control, or in control, since it's your wish being fulfilled, all the feelings you and her are able to expect, you'll be more prepared for the actual emotions from the episode, which may also resolve your conflicted feelings about creating the event.There are a lot of unknowns in the situation you're considering.  Having your partner, who will be key in satisfying your sex wish, be active in understanding these unknowns, is a good way of keeping your relationship strong overall."
"My husband and I have been together since high school. We have been married going on for nearly ten years, and we have three beautiful children. A few weeks ago, my husband decided he need some time apart and moved over to his dad’s for a while. He comes home to see the kids and acts like there is not too much wrong. Can this marriage be saved or is it too late? He said he would go to counseling, so I don't think he has given up.","While it would be impossible for me to say whether your marriage can be saved it sounds like you are both willing to give it a try and to get professional support. With appropriate professional support for your relationship a lot is possible. I'm not familiar with the resources available in Jackson but I'm sure there are some good local couple therapists and there may be some agencies that specialize in couple counselling and family therapy. So often the challenges that we have in relationships result from rather small habits in relating that lead to greater feelings of distress, loneliness, anger and resentment. I commend your willingness to put effort into creating the strong loving relationship that you want for both of your sakes and of course for your children. The following links provides more information regarding common behaviours that predict staying together or separating and also videos and other resources that can help you get started. Wishing you and your family all the best on your journey of healing and discovery."
"That phrase makes me crazy. It happens anytime I point out something to my husband that he needs to change, such as looking up from his iPad long enough for me to tell him the grandbaby almost pulled the shelf unit over or explaining to him that I got all the things he needs to bake a pie. Another example is when he opens the front door, the dog runs out if he doesn't pick him up. Over and over again, he lets the dog run out, and I am afraid he will get hit by a car.","I empathize with your feeling ""crazy"" hearing your husband yell ""enough"" in response to you wanting to make a point to him.When the immediate situation has calmed down,  have you ever told him that this upsets you?  Is it possible he simply is not aware that you feel upset by how he talks to you?Keep in mind too that what you believe your husband must change, may not agree with his opinion on what he needs to change.A helpful starting place for the two of you to discuss once the immediate situation has calmed down, is what you each feel would have been a reasonable way of handling the situation that just happened.By learning more about how the other person thinks and feels, it will be easier to know what to expect form each other.Even if you disagree about what is best, knowing that there are differences between you may make living with them easier to accept, or at least not be surprised and startled by them.Sending good luck to both of you!"
"My husband doesn’t trust me for some past we had. I know all marriages have their ups and downs, but sometimes, I feel I am getting tired of the same thing over and over: that I am messing around, which I am not.","I'm sorry to hear about the trust issues in your relationship. Trust, as you clearly know, is essential to healthy relationships. Past indiscretions or dishonesty can damage this trust and make it really hard to confidence that these things will not happen again despite reassurances. We tend to be very sensitive to betrayal and risks to our relationship security. Rebuilding trust takes time and effort for both parties. On your end, you may need to provide more reassurance and more concrete evidence that you are trustworthy, gestures of transparency (e.g. - giving him more information about where you are going and who you will be with, letting him know when you get texts or emails from people that might give him pause or trigger insecurities), and more patience and empathy for his fears. On his end, he may need to learn to be with his insecurities and fears and ask for reassurance about your love and commitment in ways that do not lead to criticizing you, attempting to control you, or limiting your freedom. If you are not able to come to agreements about how to put his fears to rest without it negatively impacting your life, I would suggest getting some professional help from a marriage counsellor or couples therapist."
"My husband and I would've been married for five years come June 2016. Our infant daughter just had her birthday. Shortly before, he told me he wanted a divorce. He has four other children, three of which are from his first wife. He decided to end that marriage when his youngest was an infant. The children do not have a good relationship with him now. He has another child from a woman he was dating. He decided he didn't want to be with her anymore when the child was an infant.    It seems to me that there is a pattern. He easily detaches from relationships at the same time in the child's life but wants a relationship with them when they are older. I've tried to research online, but I'm not getting any answers. He also has an unhealthy dependency on alcohol and does not believe in mental health disorders such as depression and bi-polar disorder. He also does not believe in therapy or seeking help from professionals. Is there a detachment disorder or some form of mental block he could have? Where do you recommend researching this?","This sounds really difficult and I can understand your motivation to get to bottom of why this behaviour has occurred - especially if your husband (who sounds like he is an ex-husband?) continues to have a relationship with you and your children. With that being said - relationships and mental health are very complicated and you are unlikely to find the answers you are looking for. In order for someone to be diagnosed with a mental illness or in order for them to identify what leads them to fall into particular patterns in relationship - they would need to be willing to seek help and honestly talk about their challenges, something that you say your ex is not willing to do.  While it might be a relief to understand what is going on with him - it might be more comforting for you to get support for yourself in processing your feelings and everything that has come up for you as a result of his choices."
My husband cheated on me and it hurt me very bad. It was a time when my health was poor. I'm have a hard time moving on.,"How has your husband acted since then? Was he regretful? How did you find out? Did he confess? These are all things that you want to consider. Betrayal is very hard to get over so if it's taking you awhile to get over, know that this is normal.Hopefully you're husband has been very regretful and upfront and honest with you since this happened. It may take awhile to reestablish your trust with him and he should understand this. It's also very important to discuss WHY he cheated. You want to make sure that the reasoning behind this was not something that could arise again in the future. And if it can, there needs to be an action plan in place (i.e. being honest with how he's feeling) so that you both get a chance to rectify the situation.If the cheating has happened more than once, you may want to reevaluate your reasoning for staying in the marriage. It would be obvious that he did not truly regret what he had done or else he wouldn't repeat the same mistake. However, if it was a single event and he has shown you and continuously shows you that he genuinely loves you and is sorry for his mistake, I would give it a try. People do make mistakes and sometimes it takes an event like this to realize what you have.Know that it takes time and that you have the right to feel what you feel. If the relationship was a good, healthy relationship, it is worth saving. Ease back into it and be upfront with your feelings. In return, your husband should be patient and understanding of this. Also, marriage counselors are often a good go-to as they have a great deal of experience working with marriages in similar situations. Best of luck to you!"
"I have been with my husband for almost 7 years. We got engaged a little after 5 years of being together. I had always been clear that I wanted to get married and I sadly would drop hints about how i wanted him to propose.  When he did propose it was during a random vacation that I had planned. I was happy but I couldn't help feeling disappointed too. I had told him numerous times before that I wanted him to do it in front of my friends and family. I know it sounds dumb to be upset but I couldn't help how I was feeling. We are now married but the wedding and ring were also far from what I wanted and it wasn't due to lack of funds. I know this is all material and the marriage is the most important thing but I cant help but get jealous and envious every time I see someone get a proposal or wedding that I had wanted. I cant help my anger because I know we only get one proposal and one wedding. What I wanted will never happen. I have been working on my feelings for the past year and half to get over it. I try to focus on our marriage but every time I see someone have the best proposals and weddings I get upset. I know it is selfish and I know its petty but I just can't control it. It's ruining our relationship because I constantly think about it. Plus, I get mad at him for small things because I am trying to hide the fact that I am so disappointed.  Why can't I move on?","It's hard to let go of the dreams you had regarding your wedding and engagement. This was something that you and most women think about for years, so it's understandable to be disappointed. But please be aware that it is rare that any wedding is perfect. You may envy your friends' weddings but more than likely they had a few mishaps of their own and/or it wasn't as perfect as they had planned it either. However, like you know, the marriage is the most important thing. How many women are envious that you are in a happy, stable relationship? I assure you that there are plenty. Try to live in the present considering that dwelling on the past can still not change how you were proposed to or how your wedding day transpired. Focus on what you can control NOW. Perhaps, you can plan an extravagant renewal of your vows or change the look of your ring?I would also be upfront with your husband and explain why you've been short lately. But after that, close that chapter and move on. It sounds like you have a wonderful companion and you certainly don't want to lose this due to a situation that is impossible to change."
I need to get on base to see my doctor. My ID card was in my wallet which was stolen. I’m unable to reach my husband at this time. He is only one who can take me on base in order to get a new ID so I can continue to see doctor. Is there anything I can do?,You should be able to get a replacement ID card either from the Personnel Office on your local base (the actual name of this office will vary depending on which branch of the military it is). You may also be required to go to the Military Police or Security office on base to report the loss of your old ID card.
"When my daughter is stressed about a silly thing from school, she starts crying and freaking out. She is a bright student, always has a 4.0, but I am afraid she is stressing too much. I’m afraid it’s going to break her. I don't know if I should get her to a doctor or someone because this is not normal.","Watching children go through challenges in their lives is difficult. On a very basic level, There exists a primal need to protect them from harm. The hard part for parents is letting them feel those challenges and working through them as they get older. At some point, there is a moment that occurs when the role as a parent shifts. Children no longer need the basics (food, shelter. water, safety) as much as when they were toddlers, but rather, their needs shift to wanting more support, encouragement, advice, and room to make mistakes. This is where the ability to communicate with them, letting them direct the sails to gather the wind needed to move, is so important. Keep the lines of communication open and be available to give feedback when they ask for it."
"I have four children. One of them is in her 20s, and she cannot afford to go, nor can I pay for her. She went last year for two weeks by herself.","I imagine you are trying to figure out a way to be ""fair"" to your adult kids.  The key word is ""adult"".  If your daughter can afford to join the family for a vacation that's great, she's welcome to come.  However, as you pointed out she took a vacation by herself last year - she chose to put her resources (time off work and money) into doing that.  Good for her - she did what she wanted.  If she wants to budget time and money for a family vacation she will.As for feeling guilty, let me echo the sentiments already offered - vacations are lovely, but not a survival need.  Your girl is in her 20s and it's her turn to provide for herself.  You did your parenting - now go enjoy your vacation with whoever can, and wants to, join you!"
"I'm being verbally abused on a daily basis by my parents in front of my child. I feel like I’m trapped and I have no escape. I feel like I have to listen to the horrible things they say and just take all of it.
   I need some way of learning how to cope with listening to it especially since I have nowhere else to go. I feel very emotionally drained How can I deal with this?","All you can do/control is work on yourself. When you have enough sense of self, you will know how to deal with your family. Therapy is an investment in yourself, which affects your family."
